"fighter1_odds","fighter2_odds"
"2.25","1.80"
"1.36","3.70"
"1.91","2.05"
"2.30","1.75"
"1.34","4.00"
"3.25","1.41"
"1.19","6.40"
"1.27","4.70"
"1.39","3.55"
"4.15","1.31"
"1.61","2.60"
"3.20","1.42"
"1.74","2.40"
"2.05","1.95"
"2.65","1.61"
"1.95","2.10"
"1.63","2.65"
"2.20","1.75"
"1.95","2.00"
"1.91","2.03"
"1.71","2.38"
"1.74","2.25"
"1.29","4.28"
"1.68","2.50"
"1.88","2.13"
"1.50","2.81"
"1.58","2.75"
"1.91","2.08"
"1.43","3.25"
"1.81","2.25"
"3.25","1.44"
"1.40","3.25"
"1.35","3.60"
"1.95","2.05"
"1.91","2.20"
"1.30","4.55"
"1.87","2.05"
"1.77","2.20"
"1.46","3.05"
"3.00","1.50"
"1.67","2.45"
"1.44","3.30"
"1.80","2.20"
"4.45","1.28"
"1.83","2.10"
"1.61","2.56"
"1.28","4.36"
"4.40","1.29"
"1.51","2.95"
"2.08","1.85"
"2.48","1.64"
"1.69","2.50"
"2.28","1.77"
"2.25","1.76"
"1.74","2.26"
"1.32","3.84"
"2.40","1.69"
"1.41","3.25"
"2.00","1.94"
"1.28","5.10"
"1.36","3.46"
"1.32","4.09"
"1.70","2.35"
"1.98","1.94"
"1.30","4.05"
"2.05","1.91"
"1.43","3.25"
"1.38","3.41"
"1.67","2.50"
"1.15","7.05"
"2.95","1.48"
"2.15","1.80"
"1.53","2.75"
"1.63","2.50"
"1.56","2.70"
"1.38","3.45"
"2.40","1.68"
"1.36","3.55"
"2.50","1.69"
"3.05","1.47"
"1.50","3.25"
"1.53","2.80"
"1.17","6.00"
"2.00","1.95"
"2.40","1.68"
"1.48","3.10"
"3.30","1.44"
"1.46","3.00"
"1.50","2.88"
"1.71","2.80"
"2.40","1.69"
"1.85","2.20"
"1.54","2.72"
"1.38","3.63"
"1.69","2.35"
"2.00","1.94"
"1.48","3.06"
"3.31","1.40"
"2.20","1.80"
"4.10","1.33"
"1.44","3.15"
