"NAME","Weight","WeightClass","REACH","SLPM","SAPM","STRA","STRD","TD","TDA","TDD","SUBA"
"Alexandre Barros",170,"welterweight",73,0.98,4.05,0.4,0.36,1.84,0.5,1,0
"Ricardo Barros",205,"lightheavyweight",76,0,8.22,0,0.31,0,0,1,0
"Francimar Barroso",205,"lightheavyweight",75,2.77,3.07,0.52,0.59,2.22,0.24,0.83,0
"Pat Barry",235,"heavyweight",74,2.72,3.54,0.52,0.59,0,0,0.76,0.2
"Dean Barry",155,"lightweight",72,0,0,0,0,0,0,0,0
"Enrique Barzola",145,"featherweight",70,3.91,2.97,0.41,0.68,4.2,0.45,0.66,0.3
"Stephen Bass",145,"featherweight",70,4.87,5.87,0.52,0.55,0,0,0,0
"Sean Bassett",155,"lightweight",72,0,0,0,0,0,0,0,0
"Ryan Bastianelli",135,"bantamweight",69,0,0,0,0,0,0,0,0
"Shayna Baszler",135,"bantamweight",69,2.49,6.36,0.3,0.51,0.67,0.18,0.44,1.3
"Batgerel Danaa",135,"bantamweight",70,5.66,2.61,0.38,0.58,0,0,0.57,0
"Michel Batista",260,"heavyweight",77,0,4.03,0,0.4,6.72,0.5,0,0
"Alan Baudot",243,"heavyweight",79,1.89,10.11,0.25,0.36,0,0,0,0
"Mario Bautista",135,"bantamweight",69,5.71,4.78,0.45,0.54,0.48,0.33,0.7,0
"Chris Beal",125,"flyweight",69,3.45,3.18,0.35,0.61,1.6,0.58,0.78,0.2
"Rudy Bears",170,"welterweight",73,1.27,2.53,0.29,0.5,0,0,0,0
"Salvador Becerra",155,"lightweight",72,4.57,3.83,0.31,0.58,0,0,0.66,0
"Ariel Beck",125,"flyweight",66,4.44,4.31,0.34,0.64,0,0,0,0
"Jeff Bedard",145,"featherweight",70,0.8,0,0.51,1,3.43,0.66,1,2.6
"Eric Bedard",239,"heavyweight",77,6.37,8.54,0.35,0.52,0,0,0,0
"Johnny Bedford",135,"bantamweight",71,4.53,1.75,0.5,0.63,1.83,0.62,0.62,0
"Chase Beebe",135,"bantamweight",67,2.17,1.64,0.38,0.69,2.49,0.42,0.41,0.9
"Lyle Beerbohm",155,"lightweight",72,1.98,1.61,0.55,0.54,2.1,0.23,0.64,0.3
"Mirsad Bektic",145,"featherweight",70,2.43,1.8,0.41,0.57,3.98,0.52,0.92,0.4
"Diana Belbita",125,"flyweight",68,5.81,6.49,0.39,0.52,1.69,0.66,0.64,0
"Alan Belcher",185,"middleweight",75,2.7,3.1,0.41,0.59,0.44,0.26,0.55,0.9
"Vitor Belfort",185,"middleweight",74,1.59,2.83,0.46,0.5,1.02,0.6,0.53,0.6
"Danilo Belluardo",155,"lightweight",74,1.52,4.79,0.61,0.41,3.5,1,0.5,0
"Joey Beltran",185,"middleweight",75,4.92,5.27,0.36,0.54,0.48,0.18,0.75,0
"Marco Beltran",125,"flyweight",69,2.07,1.93,0.37,0.63,0.7,0.5,0.46,0.2
"Joseph Benavidez",125,"flyweight",65,3.52,2.67,0.34,0.61,1.41,0.3,0.62,0.6
"Mike Bencic",215,"heavyweight",77,0,3.32,0,0.53,0,0,0,0
"Dave Beneteau",250,"heavyweight",77,0,0,0,0,0,0,0,0
"Karla Benitez",113,"strawweight",64,0,2.4,0,0.57,0,0,1,0
"Gabriel Benitez",155,"lightweight",71,4.38,3.26,0.38,0.7,0.17,0.5,0.56,1.2
"Charles Bennett",155,"lightweight",72,1.39,1.35,0.39,0.64,2.02,1,0.36,2
"Josh Bennett",259,"heavyweight",77,2.9,5.8,0.4,0.43,1.5,1,1,0
"DeAnna Bennett",125,"flyweight",68,3.13,3.27,0.58,0.58,0,0,0,1
"Lance Benoist",170,"welterweight",72,3.68,2.7,0.51,0.56,1.5,0.33,0.61,0
"Joe Benoit",170,"welterweight",73,0,0,0,1,0,0,0,0
"Ryan Benoit",125,"flyweight",68,2.95,3.4,0.41,0.6,0.33,0.25,0.7,0.5
"Pat Benson",155,"lightweight",72,0,0,0,0,0,0,0,0
"Len Bentley",155,"lightweight",72,0,0,0,0,0,0,0,0
"Steve Berger",170,"welterweight",73,1,3.26,0.27,0.36,0.84,0.4,0.16,1.7
"Kenneth Bergh",205,"lightheavyweight",74,4.56,1.27,0.75,0.28,0,0,0,0
"Bret Bergmark",170,"welterweight",73,2.78,2.78,0.52,0.37,4.17,1,0.5,4.2
"Keith Berish",205,"lightheavyweight",76,3.58,4.81,0.36,0.62,1.76,0.4,0,0
"Dennis Bermudez",155,"lightweight",66,4.42,3.07,0.46,0.59,3.89,0.4,0.82,1.1
"Manny Bermudez",145,"featherweight",71,2.92,2.68,0.61,0.46,3.06,0.54,0,3.1
"Talita Bernardo",135,"bantamweight",68,3.12,4.04,0.42,0.55,1.62,0.22,0.28,0.5
"Keith Berry",185,"middleweight",75,0.27,6.27,0.12,0.28,0,0,0,0
"Dieusel Berto",200,"lightheavyweight",76,0,0,0,0,0,0,0,0
"Edson Berto",155,"lightweight",72,1.76,4.62,0.36,0.47,5.47,0.4,0,2.7
"Allen Berube",155,"lightweight",72,0.92,0.92,0.8,0.33,6.87,1,0,3.4
"Anton Berzin",205,"lightheavyweight",76,4.4,6.8,0.46,0.67,2,0.28,0,1
"Scott Bessac",245,"heavyweight",77,0,0,0,0,0,0,0,0
"Matt Bessette",145,"featherweight",70,4.36,4.45,0.41,0.58,0.64,0.28,0.61,0.3
"Khadzhi Bestaev",185,"middleweight",76,6.15,10,0.29,0.43,0,0,0,0
"Fernando Bettega",170,"welterweight",73,0,0,0,0,0,0,0,0
"Arjan Bhullar",245,"heavyweight",75,2.33,3.25,0.56,0.59,1.73,0.75,1,0
"KB Bhullar",185,"middleweight",78,1.18,10,0.13,0.37,0,0,0,0
"Bibulatov Magomed",125,"flyweight",65,3.6,1.83,0.51,0.52,2.85,0.4,0.75,0
"David Bielkheden",155,"lightweight",71,1.11,1.64,0.57,0.54,2.65,0.63,0.14,0
"Jeremiah Billington",205,"lightheavyweight",76,1.6,7.06,0.62,0.35,0,0,0.5,0
"Scott Bills",170,"welterweight",73,0,0,0,0,0,0,0,0
"Anthony Birchak",135,"bantamweight",69,4.23,3.06,0.36,0.6,0.6,0.16,0.73,0
"Chris Birchler",205,"lightheavyweight",76,9.35,14.83,0.46,0.35,0,0,0,0
"Michael Bisping",185,"middleweight",75,4.33,2.71,0.38,0.65,1.05,0.43,0.63,0.3
"Amaury Bitetti",185,"middleweight",75,0,0,0,0,0,0,0,0
"Simon Biyong",205,"lightheavyweight",76,0,0,0,0,0,0,0,0
"Jan Blachowicz",205,"lightheavyweight",78,3.59,2.79,0.49,0.53,1.18,0.53,0.65,0.2
"Jason Black",155,"lightweight",72,1.06,2.6,0.47,0.45,0.48,0.33,0.28,6.2
"Brad Blackburn",170,"welterweight",73,4.55,3.59,0.35,0.65,0.93,0.5,0.76,0.7
"Tom Blackledge",205,"lightheavyweight",76,2.91,2.55,0.61,0.46,0,0,0.75,0
"Sherrard Blackledge",155,"lightweight",75,3.7,3.13,0.49,0.55,4,0.33,0.42,0
"Maximo Blanco",145,"featherweight",71,4.11,3.19,0.44,0.66,1.85,0.36,0.63,0.3
"David Blanco",145,"featherweight",70,0,0,0,0,0,0,0,0
"Curtis Blaydes",265,"heavyweight",80,3.59,1.7,0.53,0.57,6.64,0.54,0.33,0
"Arlene Blencowe",145,"featherweight",70,2.31,2.1,0.43,0.43,0,0,0.55,0.6
"Byron Bloodworth",135,"bantamweight",69,1.82,5.18,0.28,0.5,0,0,0,0
"Dashawn Boatwright",205,"lightheavyweight",76,0,52.5,0,0.12,0,0,0,0
